setting,model,ac_dp_pct_load,ac_dq_pct_load,ac_dp_mean_mw,ac_dq_mean_mvar,branch_loading_max_pct,branch_loading_max_pct_true,overload_rate_true,overload_rate_pred,missed_overload_rate,false_overload_rate
cc_diagonal,arma_gnn,120.214,37.063,298.875,135.175,560.149,409.199,0.126,0.139,0.107,0.029
cc_diagonal,gat,242.629,68.648,413.666,190.227,1364.518,409.199,0.126,0.157,0.147,0.056
cc_diagonal,gcn,380.235,137.055,907.536,480.566,1821.816,409.199,0.126,0.188,0.215,0.097
cc_diagonal,gin,164.539,63.129,413.365,231.14,887.415,409.199,0.126,0.153,0.109,0.047
cc_diagonal,nnconv,275.542,82.491,535.72,259.955,866.27,409.199,0.126,0.168,0.148,0.072
cc_diagonal,transformer,242.52,67.33,445.232,175.327,1003.993,409.199,0.126,0.154,0.158,0.053
cc_unseen,arma_gnn,3983.738,7086.271,18084.404,29196.89,6679.593,409.199,0.126,0.702,0.232,0.695
cc_unseen,gat,4337.232,8491.968,18739.68,31614.46,6767.808,409.199,0.126,0.7,0.261,0.695
cc_unseen,gcn,5824.977,22570.954,30944.481,106286.247,7544.857,409.199,0.126,0.773,0.19,0.765
cc_unseen,gin,24412.254,132972.007,242745.003,520023.513,20155.99,409.199,0.126,0.791,0.164,0.787
cc_unseen,nnconv,5425.426,9623.927,20979.695,35928.356,7889.949,409.199,0.126,0.786,0.17,0.782
cc_unseen,transformer,4675.25,9138.281,20061.474,35316.151,7678.735,409.199,0.126,0.761,0.215,0.756
ood,arma_gnn,3547.763,5666.826,18225.869,27236.442,6587.686,409.199,0.126,0.643,0.213,0.629
ood,gat,4595.516,7915.648,21550.905,33416.427,7952.788,409.199,0.126,0.715,0.183,0.701
ood,gcn,4068.912,7448.121,16313.132,31610.287,6091.743,409.199,0.126,0.706,0.223,0.702
ood,gin,19368.604,113097.966,201481.566,513488.546,12345.594,409.199,0.126,0.717,0.22,0.711
ood,nnconv,5432.146,9074.376,23676.79,33753.432,7743.703,409.199,0.126,0.75,0.237,0.749
ood,transformer,3951.358,8672.699,16993.793,33921.777,7231.419,409.199,0.126,0.768,0.216,0.764
within,arma_gnn,41.935,6.486,44.875,18.747,362.397,364.296,0.136,0.139,0.019,0.005
within,gat,163.265,43.867,180.871,64.491,954.482,364.296,0.136,0.146,0.042,0.02
within,gcn,330.018,82.735,542.094,247.659,912.71,364.296,0.136,0.18,0.091,0.068
within,gin,63.157,12.554,92.754,38.636,390.933,364.296,0.136,0.141,0.032,0.012
within,nnconv,170.85,46.545,200.215,74.282,895.238,364.296,0.136,0.147,0.045,0.021
within,transformer,166.201,43.66,177.505,59.549,938.694,364.296,0.136,0.147,0.041,0.021
regime_a,dc_pf,34.597,161.602,146.144,416.242,292.206,364.296,0.136,0.126,0.112,0.006
regime_a,floor,0.0,0.0,0.001,0.001,364.296,364.296,0.136,0.136,0.0,0.0
regime_b,dc_pf,33.577,159.113,122.097,319.086,333.161,409.199,0.126,0.113,0.126,0.005
regime_b,floor,0.0,0.0,0.001,0.001,409.199,409.199,0.126,0.126,0.0,0.0
