seed,model,basis,n_expected,n_finite,finite_rate,mean_nrmse,std_nrmse,mmd_range,g_score
0,arma_gnn,unseen_pairs,12,12,1.0,1.1190200857818127,2.183223063857046,0.5216373845262179,2.875965868489039
0,gat,unseen_pairs,12,12,1.0,1.1372504935910304,2.221193562440125,0.5216373845262179,2.9247529832409604
0,gcn,unseen_pairs,12,12,1.0,0.9011943899095058,1.377638497547032,0.5216373845262179,2.009847091701806
0,gin,unseen_pairs,12,12,1.0,0.6542011418690284,1.1143737183226223,0.5216373845262179,1.5509918716755093
0,nnconv,unseen_pairs,12,12,1.0,1.2087764032185078,2.0739636240642305,0.5216373845262179,2.877795800783116
0,transformer,unseen_pairs,12,12,1.0,1.0895912777632475,2.413538739000109,0.5216373845262179,3.0318832858896405
0,dc_pf,one_point_per_grid,4,4,1.0,0.06692917831242082,0.022653809345997106,0.0,0.06692917831242082
100,arma_gnn,unseen_pairs,12,12,1.0,0.7976436832298835,1.4799447644009942,0.5216373845262179,1.9886272137264367
100,gat,unseen_pairs,12,12,1.0,0.9459433828790983,1.8650856882714302,0.5216373845262179,2.446868546525435
100,gcn,unseen_pairs,12,12,1.0,1.1423802624146144,2.4014957675263093,0.5216373845262179,3.0749807056741654
100,gin,unseen_pairs,12,12,1.0,2.4086007879426083,6.573809944569197,0.5216373845262179,7.6988653741113175
100,nnconv,unseen_pairs,12,12,1.0,2.639051344866554,4.347309246693956,0.5216373845262179,6.137542531382893
100,transformer,unseen_pairs,12,12,1.0,0.7804204865048329,1.6533656720585117,0.5216373845262179,2.110964255891426
100,dc_pf,one_point_per_grid,4,4,1.0,0.06692917831242082,0.022653809345997106,0.0,0.06692917831242082
300,arma_gnn,unseen_pairs,12,12,1.0,0.8673332923402389,1.5739412609231938,0.5216373845262179,2.133960375201145
300,gat,unseen_pairs,12,12,1.0,1.572140693043669,3.3203944558233403,0.5216373845262179,4.244223602325933
300,gcn,unseen_pairs,12,12,1.0,1.4431334678083658,2.816020919506923,0.5216373845262179,3.7093224617090708
300,gin,unseen_pairs,12,12,1.0,0.5001525146265825,0.4694875314624029,0.5216373845262179,0.8779719651866311
300,nnconv,unseen_pairs,12,12,1.0,2.1082527209073305,2.9776478361010907,0.5216373845262179,4.504510755476932
300,transformer,unseen_pairs,12,12,1.0,1.0634822516391675,2.086117001146522,0.5216373845262179,2.7422820628334574
300,dc_pf,one_point_per_grid,4,4,1.0,0.06692917831242082,0.022653809345997106,0.0,0.06692917831242082
700,arma_gnn,unseen_pairs,12,12,1.0,0.43383021218081314,0.47830021611536233,0.5216373845262179,0.8187416586947664
700,gat,unseen_pairs,12,12,1.0,0.7760803823669752,1.3980031375358106,0.5216373845262179,1.9011215004127315
700,gcn,unseen_pairs,12,12,1.0,1.091670962671439,2.033727816666871,0.5216373845262179,2.728310649114948
700,gin,unseen_pairs,12,12,1.0,0.8056549585113922,1.1716944262367759,0.5216373845262179,1.7485744498259366
700,transformer,unseen_pairs,12,12,1.0,0.4739343107988437,0.6396615747159077,0.5216373845262179,0.9887010905485492
700,dc_pf,one_point_per_grid,4,4,1.0,0.06692917831242082,0.022653809345997106,0.0,0.06692917831242082
1000,arma_gnn,unseen_pairs,12,12,1.0,0.8894900462279717,1.734258412547481,0.5216373845262179,2.2851321381847916
1000,gat,unseen_pairs,12,12,1.0,1.0935995746403933,2.5220540958945277,0.5216373845262179,3.123219168211854
1000,gcn,unseen_pairs,12,10,0.8333333333333334,0.5160489171743393,0.4621185385479658,0.5216373845262179,
1000,gin,unseen_pairs,12,12,1.0,0.6537792831659317,1.1832895993401273,0.5216373845262179,1.6060299742194997
1000,transformer,unseen_pairs,12,12,1.0,1.2854178535441558,2.8909319712576176,0.5216373845262179,3.6118914141620264
1000,dc_pf,one_point_per_grid,4,4,1.0,0.06692917831242082,0.022653809345997106,0.0,0.06692917831242082
